"Soziale Faktoren"
"Architektonische Faktoren"
"Ästhetische Faktoren"
"Markt/wirtschaftliche Faktoren"
"Prozessorientierte Faktoren"
"Übergeordnete / Meta-Faktoren"
"Logistische Faktoren"
"Örtliche Faktoren"
"Zeitliche Faktoren"
"Physikalische Faktoren"
"Technische Faktoren"
"Mechanische Faktoren"
"Beschreibende Faktoren/Zustandsfaktoren"
"Qualitätsfaktoren"
"Quantitäts-Faktoren"
"Ökologische Faktoren (CO2, Energie)"
"Chemische Faktoren"
"Spezifische Faktoren"
"Faktoren der Materialeigenschaften"
"Ökologische Faktoren (Schadstoffe, Gesundheit)"
"Faktoren für die Rückbaubarkeit"
"Beschreibende Faktoren"
"Volumen Faktoren"
"Ökologische Faktoren"
"Bewertungs-faktoren"
"Wiedereinbaubarkeit"
"spezifische, technische Faktoren"
"Zustandsfaktoren"
"Geometrische faktoren"
